salary,salary25,salary50,salary75,sampleCount,isShowSalary,salaryThousand50,salaryThousand,originSampleCount,originTotalSampleCount,analyzeCode,desc,jobCount,jobUrl,job_code,salary_type
114400.0,57500.0,100000.0,150000.0,0.0,False,100.0,114.0,40.0,152.0,5,10年以上,38,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001005&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001005,月薪
722939.25,522899.12,644652.5,859536.7,174.0,True,45.0,50.0,174.0,2207.0,1,1年以下,1019,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001003,年薪
772541.06,573024.44,687629.3,877443.7,507.0,True,48.0,53.0,507.0,2207.0,2,1~3年,674,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001003,年薪
775834.8,573024.44,716280.56,859536.7,439.0,True,50.0,54.0,439.0,2207.0,3,3~5年,434,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001003,年薪
798313.2,573024.44,716280.56,920298.75,649.0,True,50.0,55.0,649.0,2207.0,4,5~10年,362,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001003,年薪
834779.4,601675.7,737769.0,979513.7,438.0,True,51.0,58.0,438.0,2207.0,5,10年以上,75,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001003,年薪
1761063.9,739308.44,1177091.8,2809322.0,0.0,False,72.0,96.0,18.0,206.0,1,1年以下,28,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001007,年薪
1692758.0,704103.25,1181150.8,2247457.8,83.0,True,72.0,93.0,83.0,206.0,2,1~3年,13,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001007,年薪
1645331.4,704103.25,1136502.4,2247457.8,0.0,False,70.0,90.0,50.0,206.0,3,3~5年,16,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001007,年薪
1613466.0,704103.25,1217681.1,2359830.5,0.0,False,75.0,88.0,39.0,206.0,4,5~10年,64,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001007,年薪
2013041.5,880129.1,1420628.0,3258813.8,16.0,True,87.0,110.0,16.0,206.0,5,10年以上,27,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001007,年薪
